epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,249557.66352195546,5.399115616394612e-12,-292.2899906024105,0.0
1,239618.86179052174,5.089376836631132e-12,-293.28454060747515,0.0
2,239817.23709859143,4.869361858172994e-12,-294.2597997157985,0.0
3,236700.7152308733,5.140859526270303e-12,-295.21239196225207,0.0
4,234246.9225116545,5.141686122006606e-12,-296.13561950475696,0.0
5,234427.67739035626,4.755190165239842e-12,-297.02840985488916,0.0
6,232836.47507619063,4.97960787188001e-12,-297.891016374745,0.0
7,230425.95144074498,4.720212935793722e-12,-298.72505550217124,0.0
8,227717.31504528815,4.869676276803014e-12,-299.5325263155492,0.0
9,226792.2046053062,5.092273391155144e-12,-300.3135469546331,0.0
10,225114.31955045246,5.015468075575402e-12,-301.069956211489,0.0
11,220343.28817842162,5.27355242807559e-12,-301.80229965485756,0.0
12,219067.9039666307,5.415614137693758e-12,-302.5120248107494,0.0
13,217859.52336978744,5.186336603235642e-12,-303.1991753734492,0.0
14,217153.55728931486,4.985106945298856e-12,-303.8648926103119,0.0
15,210930.1658019214,5.3454450067713655e-12,-304.5097087840165,0.0
16,208577.25080849085,4.855883490445523e-12,-305.1343829189331,0.0
17,206880.33551730364,4.8354167891950794e-12,-305.7389446001078,0.0
18,203452.02848784986,5.245835016376432e-12,-306.3235123501686,0.0
19,197266.6227380094,5.09347381980052e-12,-306.8893476588922,0.0
20,195063.35003102352,4.984423030568452e-12,-307.4357271012809,0.0
21,189713.85957130612,5.0108853698327405e-12,-307.9633108465484,0.0
22,184276.4595428632,5.420751087586995e-12,-308.4730606738579,0.0
23,179729.54361045922,5.409532630867853e-12,-308.96294706729054,0.0
24,175372.27451785977,5.61154204700709e-12,-309.43604225730905,0.0
25,167911.7223909552,5.5995251838081295e-12,-309.8896231896569,0.0
26,162192.4459426615,5.667091362154819e-12,-310.32286008055576,0.0
27,154635.38616868257,5.810124950600404e-12,-310.7386013221897,0.0
28,148198.80050109234,5.866210728983079e-12,-311.135063091428,0.0
29,140948.17115140957,6.125495510128642e-12,-311.5116076954429,0.0
30,132296.81601678816,6.199291947839303e-12,-311.86977587709123,0.0
31,127074.47405959728,6.751050673353687e-12,-312.21213693081984,0.0
32,118070.83658523642,6.894815881425265e-12,-312.5348492563284,0.0
33,111253.52647505721,7.528640037779422e-12,-312.84577518886596,0.0
34,105218.29217309313,7.773687509676774e-12,-313.1395023146402,0.0
35,98226.68340689086,8.378085551707937e-12,-313.4199802965474,0.0
36,90035.28906272961,8.566211542188062e-12,-313.6852394931437,0.0
37,86042.25549692105,9.091410783923504e-12,-313.94003775226895,0.0
38,80121.72419148353,9.503090155071892e-12,-314.1792686715844,0.0
39,73292.59887612802,9.795000747991889e-12,-314.40517422179227,0.0
40,69326.85192404584,1.0342604810781308e-11,-314.6172187409787,0.0
41,62562.08763756731,1.0391256865388554e-11,-314.8152296791592,0.0
42,59797.72404407677,1.1057045470191929e-11,-315.0033828444503,0.0
43,55859.047690709194,1.1252139411194184e-11,-315.178141293077,0.0
44,49101.65157605181,1.155373930208925e-11,-315.33614651021406,0.0
45,47526.4225776812,1.1873104062420925e-11,-315.4817362079833,0.0
46,43012.47696799221,1.2168957248120948e-11,-315.6172597226227,0.0
47,41404.93108515002,1.2403399488047917e-11,-315.7354613761407,0.0
48,34377.26127784228,1.2662579318423184e-11,-315.84256511292153,0.0
49,32014.765741729636,1.2938182643307261e-11,-315.9377320650764,0.0
50,31151.916673461874,1.3171557160934766e-11,-316.02153878655474,0.0
51,25709.094284297953,1.3423452453753537e-11,-316.08948998063653,0.0
52,25314.291988398778,1.3743102142416141e-11,-316.14979729738417,0.0
53,21978.488634203564,1.3966230949513658e-11,-316.2012760813497,0.0
54,20671.653044894047,1.4143152794743319e-11,-316.24671038452584,0.0
55,19015.06998548256,1.430102911093023e-11,-316.2775053913909,0.0
56,17618.903050293477,1.46151012299367e-11,-316.3018189641891,0.0
57,17034.226547603535,1.480755015131896e-11,-316.3173120548535,0.0
58,13967.836310652527,1.4926641086349113e-11,-316.327651214465,0.0
59,14685.31109246385,1.5141562049320045e-11,-316.32127628292477,0.0
60,12252.053488580892,1.5242475684407175e-11,-316.3123059746585,0.0
61,11823.34454863033,1.5523764999164635e-11,-316.2989279781027,0.0
62,10625.765777739769,1.5710831507281808e-11,-316.29229002347125,0.0
63,11386.82946359589,1.569821486344103e-11,-316.27566545905364,0.0
64,9615.657254645668,1.6119190617697177e-11,-316.2543552708875,0.0
65,9635.892937653436,1.600420143632597e-11,-316.220202341326,0.0
66,8554.661872427067,1.6297503277473702e-11,-316.20412071750695,0.0
67,9534.530021380973,1.637522929753832e-11,-316.19427768301244,0.0
68,7966.13056279901,1.6507261269699258e-11,-316.1789107281394,0.0
69,7667.243322476721,1.6626312306089464e-11,-316.15856850795586,0.0
70,6836.371577419242,1.6741013957044526e-11,-316.16468454168404,0.0
71,6670.255917198665,1.6970252460224433e-11,-316.1836425494981,0.0
72,6760.510592573357,1.7012412745903704e-11,-316.1916051748476,0.0
73,6707.673048547659,1.7062805161838224e-11,-316.21423995942143,0.0
74,5633.593967928607,1.7285384928955594e-11,-316.2381150882943,0.0
75,5653.693075587567,1.7285885830359282e-11,-316.262187054663,0.0
76,5319.269989926734,1.730652687131906e-11,-316.2981695809494,0.0
77,5330.239755175093,1.7546219251846074e-11,-316.33846481227283,0.0
78,4728.995377597307,1.760993217567175e-11,-316.4036322780134,0.0
79,4215.6647819273085,1.7688046773794985e-11,-316.46731041481235,0.0
