epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,585.4148581412264,6.717716660720185e-16,-2.9139944285502817,0.7162470305004313
1,568.22379081422,2.2086499296136708e-14,-2.914096022575523,0.4602470305004313
2,551.0510009208028,7.69939667577546e-14,-2.914198442139796,0.2042470305004311
3,527.2409828280045,7.627232179174825e-14,-2.9142993505309627,0.011327197031384649
4,480.92643377099404,5.109801470837283e-14,-2.9144016435539912,0.0
5,432.8120268445414,3.13915560212763e-14,-2.9145004740802447,0.0
6,384.69394505042317,2.350897254643769e-14,-2.914600143703208,0.0
7,336.57227780493974,2.8879676428061885e-14,-2.9147001696801675,0.0
8,288.45686098560503,3.447242491461111e-14,-2.9148028117388836,0.0
9,245.0196552899632,2.423061751244404e-14,-2.9149097083859097,0.0
10,232.49677243574098,1.762479051592436e-14,-2.915044036951063,0.0
11,230.75959027914698,1.5862311464331924e-14,-2.915176615254268,0.0
12,228.9997273375862,1.4530043834781736e-14,-2.9153011390647836,0.0
13,227.30464455994047,1.5626389071599078e-14,-2.915426370097116,0.0
14,226.82626821228965,1.7166823518266483e-14,-2.9155430097019424,0.0
15,226.1215979286003,1.6209256159527285e-14,-2.9156605739454142,0.0
16,224.98519846747178,1.6334156249797616e-14,-2.9157741159111326,0.0
17,223.68682163555272,1.7569279364693102e-14,-2.9158825254080987,0.0
18,223.8802341373859,1.8179902028236938e-14,-2.9159889599757722,0.0
19,222.1591665038398,1.7333356971960256e-14,-2.916096913646625,0.0
20,220.3278536071208,1.7805201757425948e-14,-2.9162070730273406,0.0
21,220.06865705331774,1.790234627208065e-14,-2.916317953463188,0.0
22,220.50607053664643,1.8166024240429124e-14,-2.9164253115176386,0.0
23,220.8224396046727,1.7458257062230587e-14,-2.916528333759833,0.0
24,220.22994481040092,1.7735812818386876e-14,-2.9166313435830857,0.0
25,220.38865826982553,1.7014167852380524e-14,-2.916732859526389,0.0
26,220.47615790662064,1.802724636235098e-14,-2.916831426617608,0.0
27,220.64292921173055,1.802724636235098e-14,-2.9169336662321528,0.0
28,219.68521744471843,1.815214645262131e-14,-2.9170377229993925,0.0
29,219.70815982161236,1.8068879725774423e-14,-2.9171411010730326,0.0
30,219.50618439899026,1.74721348500384e-14,-2.9172430037573878,0.0
31,219.52402315313128,1.73749903353837e-14,-2.9173473254606437,0.0
32,219.76342278478825,1.7180701306074297e-14,-2.9174507299732317,0.0
33,219.71441201727316,1.802724636235098e-14,-2.9175510977617063,0.0
34,219.876912370244,1.740274591099933e-14,-2.917653438556463,0.0
35,219.85211596852957,1.7957857423311907e-14,-2.917757850042015,0.0
36,219.85823204064212,1.802724636235098e-14,-2.917859391961005,0.0
37,219.536499681664,1.790234627208065e-14,-2.9179618645383667,0.0
38,219.74885416106014,1.7694179454963432e-14,-2.918063530881735,0.0
39,219.59917710538133,1.7805201757425948e-14,-2.918165257246186,0.0
40,219.76548854364373,1.7541523789077473e-14,-2.9182674313281773,0.0
41,219.57895274530654,1.7111312367035225e-14,-2.9183685045499503,0.0
42,220.19800299198144,1.7888468484272835e-14,-2.9184683150435324,0.0
43,219.5701571410608,1.762479051592436e-14,-2.9185716339932104,0.0
44,219.62031089388375,1.700029006457271e-14,-2.918674915486008,0.0
45,219.5194182377113,1.8041124150158794e-14,-2.918776749291469,0.0
46,219.70674760375982,1.7014167852380524e-14,-2.918879583860438,0.0
47,219.5860170610798,1.8166024240429124e-14,-2.918983242879526,0.0
48,219.8417274372334,1.8207657603852567e-14,-2.9190855342078406,0.0
49,220.3743208312869,1.772193503057906e-14,-2.91918595194897,0.0
50,220.47406840737366,1.790234627208065e-14,-2.9192882360552854,0.0
51,219.74381674491084,1.740274591099933e-14,-2.9193898504538627,0.0
52,219.61043299773027,1.812439087700568e-14,-2.919489737621307,0.0
53,219.5312911296032,1.7957857423311907e-14,-2.919590724104454,0.0
54,219.5139606056053,1.749989042565403e-14,-2.919694187451408,0.0
55,219.42368245199523,1.8096635301390052e-14,-2.919797968153142,0.0
56,219.44220572498403,1.715294573045867e-14,-2.919898887061954,0.0
57,219.80682525733243,1.6778245459647678e-14,-2.9199983459622154,0.0
58,219.9710008967833,1.8096635301390052e-14,-2.920100001291147,0.0
59,219.64472777415995,1.7832957333041577e-14,-2.9202011136323884,0.0
60,219.80113514383325,1.7291723608536813e-14,-2.9203031410747524,0.0
61,219.4508061596456,1.6917023337725823e-14,-2.920404545050689,0.0
62,219.5210802252847,1.8707257964933888e-14,-2.9205072567485826,0.0
63,219.7707474620707,1.8360313269738526e-14,-2.920610515506985,0.0
64,219.9892379537746,1.712519015484304e-14,-2.920713161857927,0.0
65,219.60346946898633,1.7832957333041577e-14,-2.9208146556745302,0.0
66,219.70194588535378,1.752764600126966e-14,-2.9209155492390586,0.0
67,219.50590360223399,1.672273430841642e-14,-2.921016045146432,0.0
68,219.54322286545585,1.7388868123191514e-14,-2.921118389587305,0.0
69,219.61943902786808,1.73749903353837e-14,-2.9212189101335535,0.0
70,219.82399240413136,1.8138268664813495e-14,-2.9213204127066894,0.0
71,219.41352697592495,1.8263168755083825e-14,-2.9214215808456254,0.0
72,220.617587965114,1.765254609153999e-14,-2.9215232648714875,0.0
73,220.03475460644654,1.8596235662471372e-14,-2.9216243024040485,0.0
74,219.92552131896392,1.7680301667155618e-14,-2.921724772874738,0.0
75,219.99054984382622,1.830480211850727e-14,-2.921825923268433,0.0
76,219.96888299622697,1.855460229904793e-14,-2.921926968157218,0.0
77,220.266305687076,1.8193779816044753e-14,-2.9220276127401648,0.0
78,219.8322134626897,1.740274591099933e-14,-2.9221294808296636,0.0
79,219.43572884156674,1.6917023337725823e-14,-2.9222301553893812,0.0
80,219.91050191111933,1.6736612096224235e-14,-2.9223315687725813,0.0
81,219.53356461101123,1.7305601396344628e-14,-2.9224318811929675,0.0
82,219.7606425331096,1.7361112547575885e-14,-2.9225319664929357,0.0
83,219.50824802569633,1.7985612998927536e-14,-2.922634670567707,0.0
84,219.47074714555808,1.7069679003611782e-14,-2.922734739770802,0.0
85,219.5846256407691,1.7236212457305555e-14,-2.922832995267407,0.0
86,219.74034211210332,1.752764600126966e-14,-2.92293550327639,0.0
87,219.66956997558052,1.777744618181032e-14,-2.923038679676769,0.0
88,219.57107144701084,1.799949078673535e-14,-2.9231398448665584,0.0
89,219.663823937987,1.740274591099933e-14,-2.923240242062187,0.0
90,219.55552098001831,1.6930901125533637e-14,-2.923339572691509,0.0
91,219.38821232435853,1.709743457922741e-14,-2.9234386248341453,0.0
92,219.50813134677054,1.725009024511337e-14,-2.923540601144236,0.0
93,219.55260707621073,1.8193779816044753e-14,-2.9236425905958363,0.0
94,219.6651488802404,1.797173521111972e-14,-2.923744699333699,0.0
95,219.52940190838672,1.7430501486614958e-14,-2.9238452648981497,0.0
96,219.5395129347856,1.8221535391660382e-14,-2.923945860955684,0.0
97,219.46904032174518,1.7694179454963432e-14,-2.9240451396098743,0.0
98,219.6386260753076,1.8055001937966608e-14,-2.9241459248212633,0.0
99,219.80424817006025,1.7361112547575885e-14,-2.9242449821300966,0.0
